country_name,Year,Sex,Age,n
Australia,2004,Female,95+ years,15.0
Australia,2004,Female,All ages,494.0
Australia,2004,Female,Unspecified,1.0
Australia,2006,Male,0 years,0.0
Australia,2006,Male,1 years,0.0
Australia,2006,Male,10-14 years,0.0
Australia,2006,Male,15-19 years,2.0
Australia,2006,Male,2 years,0.0
Australia,2006,Male,20-24 years,2.0
Australia,2006,Male,25-29 years,7.0
Australia,2006,Male,3 years,0.0
Australia,2006,Male,30-34 years,8.0
Australia,2006,Male,35-39 years,17.0
Australia,2006,Male,4 years,0.0
Australia,2006,Male,40-44 years,31.0
Australia,2006,Male,45-49 years,39.0
Australia,2006,Male,5-9 years,1.0
Australia,2006,Male,50-54 years,39.0
Australia,2006,Male,55-59 years,74.0
Australia,2006,Male,60-64 years,95.0
Australia,2006,Male,65-69 years,107.0
Australia,2006,Male,70-74 years,133.0
Australia,2006,Male,75-79 years,181.0
Australia,2006,Male,80-84 years,154.0
Australia,2006,Male,85-89 years,105.0
Australia,2006,Male,90-94 years,52.0
Australia,2006,Male,95+ years,15.0
Australia,2006,Male,All ages,1062.0
Australia,2006,Male,Unspecified,0.0
Australia,2006,Female,0 years,0.0
Australia,2006,Female,1 years,0.0
Australia,2006,Female,10-14 years,0.0
Australia,2006,Female,15-19 years,0.0
Australia,2006,Female,2 years,0.0
Australia,2006,Female,20-24 years,2.0
Australia,2006,Female,25-29 years,5.0
Australia,2006,Female,3 years,0.0
Australia,2006,Female,30-34 years,11.0
Australia,2006,Female,35-39 years,7.0
Australia,2006,Female,4 years,0.0
Australia,2006,Female,40-44 years,9.0
Australia,2006,Female,45-49 years,29.0
Australia,2006,Female,5-9 years,0.0
Australia,2006,Female,50-54 years,42.0
Australia,2006,Female,55-59 years,48.0
Australia,2006,Female,60-64 years,37.0
Australia,2006,Female,65-69 years,45.0
Australia,2006,Female,70-74 years,53.0
Australia,2006,Female,75-79 years,85.0
Australia,2006,Female,80-84 years,81.0
Australia,2006,Female,85-89 years,56.0
Australia,2006,Female,90-94 years,52.0
Australia,2006,Female,95+ years,24.0
Australia,2006,Female,All ages,586.0
Australia,2006,Female,Unspecified,0.0
Australia,2007,Male,0 years,0.0
Australia,2007,Male,1 years,0.0
Australia,2007,Male,10-14 years,0.0
Australia,2007,Male,15-19 years,0.0
Australia,2007,Male,2 years,0.0
Australia,2007,Male,20-24 years,3.0
Australia,2007,Male,25-29 years,6.0
Australia,2007,Male,3 years,0.0
Australia,2007,Male,30-34 years,5.0
Australia,2007,Male,35-39 years,19.0
Australia,2007,Male,4 years,0.0
Australia,2007,Male,40-44 years,22.0
Australia,2007,Male,45-49 years,55.0
Australia,2007,Male,5-9 years,0.0
Australia,2007,Male,50-54 years,53.0
Australia,2007,Male,55-59 years,94.0
Australia,2007,Male,60-64 years,122.0
Australia,2007,Male,65-69 years,103.0
Australia,2007,Male,70-74 years,133.0
Australia,2007,Male,75-79 years,193.0
Australia,2007,Male,80-84 years,180.0
Australia,2007,Male,85-89 years,119.0
Australia,2007,Male,90-94 years,48.0
Australia,2007,Male,95+ years,15.0
Australia,2007,Male,All ages,1170.0
Australia,2007,Male,Unspecified,0.0
Australia,2007,Female,0 years,0.0
Australia,2007,Female,1 years,0.0
Australia,2007,Female,10-14 years,0.0
Australia,2007,Female,15-19 years,1.0
Australia,2007,Female,2 years,0.0
Australia,2007,Female,20-24 years,3.0
Australia,2007,Female,25-29 years,14.0
Australia,2007,Female,3 years,0.0
Australia,2007,Female,30-34 years,8.0
Australia,2007,Female,35-39 years,12.0
Australia,2007,Female,4 years,0.0
Australia,2007,Female,40-44 years,17.0
Australia,2007,Female,45-49 years,25.0
Australia,2007,Female,5-9 years,0.0
Australia,2007,Female,50-54 years,27.0
Australia,2007,Female,55-59 years,28.0
Australia,2007,Female,60-64 years,44.0
Australia,2007,Female,65-69 years,39.0
Australia,2007,Female,70-74 years,51.0
Australia,2007,Female,75-79 years,64.0
Australia,2007,Female,80-84 years,73.0
Australia,2007,Female,85-89 years,78.0
Australia,2007,Female,90-94 years,47.0
Australia,2007,Female,95+ years,27.0
Australia,2007,Female,All ages,558.0
Australia,2007,Female,Unspecified,0.0
Australia,2008,Male,0 years,0.0
Australia,2008,Male,1 years,0.0
Australia,2008,Male,10-14 years,0.0
Australia,2008,Male,15-19 years,1.0
Australia,2008,Male,2 years,0.0
Australia,2008,Male,20-24 years,4.0
Australia,2008,Male,25-29 years,6.0
Australia,2008,Male,3 years,0.0
Australia,2008,Male,30-34 years,13.0
Australia,2008,Male,35-39 years,21.0
Australia,2008,Male,4 years,0.0
Australia,2008,Male,40-44 years,29.0
Australia,2008,Male,45-49 years,36.0
Australia,2008,Male,5-9 years,0.0
Australia,2008,Male,50-54 years,57.0
Australia,2008,Male,55-59 years,108.0
Australia,2008,Male,60-64 years,103.0
Australia,2008,Male,65-69 years,143.0
Australia,2008,Male,70-74 years,148.0
Australia,2008,Male,75-79 years,183.0
Australia,2008,Male,80-84 years,195.0
Australia,2008,Male,85-89 years,133.0
Australia,2008,Male,90-94 years,49.0
Australia,2008,Male,95+ years,15.0
Australia,2008,Male,All ages,1244.0
Australia,2008,Male,Unspecified,0.0
Australia,2008,Female,0 years,0.0
Australia,2008,Female,1 years,0.0
Australia,2008,Female,10-14 years,0.0
Australia,2008,Female,15-19 years,0.0
Australia,2008,Female,2 years,0.0
Australia,2008,Female,20-24 years,2.0
Australia,2008,Female,25-29 years,6.0
Australia,2008,Female,3 years,0.0
Australia,2008,Female,30-34 years,5.0
Australia,2008,Female,35-39 years,15.0
Australia,2008,Female,4 years,0.0
Australia,2008,Female,40-44 years,23.0
Australia,2008,Female,45-49 years,30.0
Australia,2008,Female,5-9 years,0.0
Australia,2008,Female,50-54 years,27.0
Australia,2008,Female,55-59 years,30.0
